company_name_he,company_number,cohort,source_url,source_accessed,required_attribution
"כרמל אימפקט בע""מ",517396081,new_august_2026,https://datacheck.co.il/company/%D7%9B%D7%A8%D7%9E%D7%9C-%D7%90%D7%99%D7%9E%D7%A4%D7%A7%D7%98-%D7%91%D7%A2%D7%9E-517396081,2026-08-26,"DataCheck Research — https://datacheck.co.il/trends"
"קומנדרי בע""מ",517396032,new_august_2026,https://datacheck.co.il/company/%D7%A7%D7%95%D7%9E%D7%A0%D7%93%D7%A8%D7%99-%D7%91%D7%A2%D7%9E-517396032,2026-08-26,"DataCheck Research — https://datacheck.co.il/trends"
"ברלין אינסייט בע""מ",517396099,new_august_2026,https://datacheck.co.il/company/%D7%91%D7%A8%D7%9C%D7%99%D7%9F-%D7%90%D7%99%D7%A0%D7%A1%D7%99%D7%99%D7%98-%D7%91%D7%A2%D7%9E-517396099,2026-08-26,"DataCheck Research — https://datacheck.co.il/trends"
"דוראל ריווייסט שותף כללי בע""מ",517396164,new_august_2026,https://datacheck.co.il/company/%D7%93%D7%95%D7%A8%D7%90%D7%9C-%D7%A8%D7%99%D7%95%D7%95%D7%99%D7%99%D7%A1%D7%98-%D7%A9%D7%95%D7%AA%D7%A3-%D7%9B%D7%9C%D7%9C%D7%99-%D7%91%D7%A2%D7%9E-517396164,2026-08-26,"DataCheck Research — https://datacheck.co.il/trends"
"כימה דינמיקס בע""מ",517396172,new_august_2026,https://datacheck.co.il/company/%D7%9B%D7%99%D7%9E%D7%94-%D7%93%D7%99%D7%A0%D7%9E%D7%99%D7%A7%D7%A1-%D7%91%D7%A2%D7%9E-517396172,2026-08-26,"DataCheck Research — https://datacheck.co.il/trends"
"איי איי דטה סולשנס בע""מ",517396065,new_august_2026,https://datacheck.co.il/company/%D7%90%D7%99%D7%99-%D7%90%D7%99%D7%99-%D7%93%D7%98%D7%94-%D7%A1%D7%95%D7%9C%D7%A9%D7%A0%D7%A1-%D7%91%D7%A2%D7%9E-517396065,2026-08-26,"DataCheck Research — https://datacheck.co.il/trends"
"דוראל אמפא דאטה סנטרס שותף כללי בע""מ",517396214,new_august_2026,https://datacheck.co.il/company/%D7%93%D7%95%D7%A8%D7%90%D7%9C-%D7%90%D7%9E%D7%A4%D7%90-%D7%93%D7%90%D7%98%D7%94-%D7%A1%D7%A0%D7%98%D7%A8%D7%A1-%D7%A9%D7%95%D7%AA%D7%A3-%D7%9B%D7%9C%D7%9C%D7%99-%D7%91%D7%A2%D7%9E-517396214,2026-08-26,"DataCheck Research — https://datacheck.co.il/trends"
"רפק כרמיה אנרגיה מתחדשת ניהול בע""מ",517396230,new_august_2026,https://datacheck.co.il/company/%D7%A8%D7%A4%D7%A7-%D7%9B%D7%A8%D7%9E%D7%99%D7%94-%D7%90%D7%A0%D7%A8%D7%92%D7%99%D7%94-%D7%9E%D7%AA%D7%97%D7%93%D7%A9%D7%AA-%D7%A0%D7%99%D7%94%D7%95%D7%9C-%D7%91%D7%A2%D7%9E-517396230,2026-08-26,"DataCheck Research — https://datacheck.co.il/trends"
"ניקסא סולארי בע""מ",517396271,new_august_2026,https://datacheck.co.il/company/%D7%A0%D7%99%D7%A7%D7%A1%D7%90-%D7%A1%D7%95%D7%9C%D7%90%D7%A8%D7%99-%D7%91%D7%A2%D7%9E-517396271,2026-08-26,"DataCheck Research — https://datacheck.co.il/trends"
"אנלייט לוקאל - מאגר רמת הכובש שותף כללי בע""מ",517395794,new_august_2026,https://datacheck.co.il/company/%D7%90%D7%A0%D7%9C%D7%99%D7%99%D7%98-%D7%9C%D7%95%D7%A7%D7%90%D7%9C-%D7%9E%D7%90%D7%92%D7%A8-%D7%A8%D7%9E%D7%AA-%D7%94%D7%9B%D7%95%D7%91%D7%A9-%D7%A9%D7%95%D7%AA%D7%A3-%D7%9B%D7%9C%D7%9C%D7%99-%D7%91%D7%A2%D7%9E-517395794,2026-08-26,"DataCheck Research — https://datacheck.co.il/trends"
"קלאוד פי.די.אף בע""מ",517386272,older_page_25,https://datacheck.co.il/company/%D7%A7%D7%9C%D7%90%D7%95%D7%93-%D7%A4%D7%99.%D7%93%D7%99.%D7%90%D7%A3-%D7%91%D7%A2%D7%9E-517386272,2026-08-26,"DataCheck Research — https://datacheck.co.il/trends"
"פרץ שירות ניהול כוח אדם בע""מ",517386173,older_page_25,https://datacheck.co.il/company/%D7%A4%D7%A8%D7%A5-%D7%A9%D7%99%D7%A8%D7%95%D7%AA-%D7%A0%D7%99%D7%94%D7%95%D7%9C-%D7%9B%D7%95%D7%97-%D7%90%D7%93%D7%9D-%D7%91%D7%A2%D7%9E-517386173,2026-08-26,"DataCheck Research — https://datacheck.co.il/trends"
"יבואן המחשבים בע""מ",517386124,older_page_25,https://datacheck.co.il/company/%D7%99%D7%91%D7%95%D7%90%D7%9F-%D7%94%D7%9E%D7%97%D7%A9%D7%91%D7%99%D7%9D-%D7%91%D7%A2%D7%9E-517386124,2026-08-26,"DataCheck Research — https://datacheck.co.il/trends"
"רום שירות קניין רוחני בע""מ",517385621,older_page_25,https://datacheck.co.il/company/%D7%A8%D7%95%D7%9D-%D7%A9%D7%99%D7%A8%D7%95%D7%AA-%D7%A7%D7%A0%D7%99%D7%99%D7%9F-%D7%A8%D7%95%D7%97%D7%A0%D7%99-%D7%91%D7%A2%D7%9E-517385621,2026-08-26,"DataCheck Research — https://datacheck.co.il/trends"
"לייר8 נטוורקס בע""מ",517385019,older_page_25,https://datacheck.co.il/company/%D7%9C%D7%99%D7%99%D7%A88-%D7%A0%D7%98%D7%95%D7%95%D7%A8%D7%A7%D7%A1-%D7%91%D7%A2%D7%9E-517385019,2026-08-26,"DataCheck Research — https://datacheck.co.il/trends"

